City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,74.3,overcast clouds,-21.2,-175.2,Keleti Beach Resort
4,Hilo,US,71.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,Rikitea,PF,75.33,overcast clouds,-23.1203,-134.9692,Pension Maro'i
9,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
10,Rio Casca,BR,79.74,few clouds,-20.2261,-42.6508,Hotel Morada do Sol
13,Liwale,TZ,70.16,broken clouds,-9.7667,37.9333,Samoma Lodge
21,Castro,BR,73.24,clear sky,-24.7911,-50.0119,CHACARA BAILLY
22,Gat,IL,76.82,clear sky,31.61,34.7642,OlusHome
25,Poum,NC,73.85,overcast clouds,-20.2333,164.0167,Gîte kajeon
27,Butaritari,KI,82.31,broken clouds,3.0707,172.7902,Isles Sunset Lodge
28,Katsuura,JP,72.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
29,Saint-Philippe,RE,74.75,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
38,Hithadhoo,MV,83.21,moderate rain,-0.6,73.0833,Scoop Guest House
47,Nikolskoye,RU,74.8,broken clouds,59.7035,30.7861,Tourist House - Sablino
49,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
50,Ishigaki,JP,80.22,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
54,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
55,Kapaa,US,75.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Puerto Carreno,CO,75.04,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
57,Casablanca,MA,77.22,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
58,Sagamihara,JP,72.0,overcast clouds,35.5531,139.3544,Hotel Wing International Sagamihara
61,Bandarbeyla,SO,80.38,overcast clouds,9.4942,50.8122,JABIR HOTEL
63,Atuona,PF,78.33,overcast clouds,-9.8,-139.0333,Villa Enata
68,Ponta Do Sol,PT,73.13,broken clouds,32.6667,-17.1,Hotel do Campo
71,Maragogi,BR,79.84,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
74,San Policarpo,PH,79.12,moderate rain,12.1791,125.5072,JM Lodge
79,Yinchuan,CN,79.79,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
81,Jamestown,US,82.29,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
83,Yanam,IN,84.6,clear sky,16.7333,82.2167,The Regency Hotel
85,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
90,Hambantota,LK,79.88,scattered clouds,6.1241,81.1185,Bungalow 63
92,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
104,Taihe,CN,74.05,overcast clouds,30.8712,105.3845,Meifeng Holiday Inn
107,Kismayo,SO,78.93,broken clouds,-0.3582,42.5454,Agan-Hotel
108,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
109,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
111,Bonthe,SL,83.53,light rain,7.5264,-12.505,Bonthe Holiday Village
116,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Hotel Central
123,Buala,SB,79.29,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
124,Inyonga,TZ,72.91,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
127,Georgetown,MY,80.53,heavy intensity rain,5.4112,100.3354,Cititel Penang
130,Cap Malheureux,MU,74.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
133,Monroe,US,84.58,broken clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
134,Waingapu,ID,76.23,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
137,Hobyo,SO,79.32,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
139,Saint-Pierre,RE,74.84,moderate rain,-21.3393,55.4781,Lindsey Hôtel
142,Shelburne,CA,82.29,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
143,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
148,Dryden,CA,77.29,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
153,West Wendover,US,81.61,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
156,Jiuquan,CN,73.81,moderate rain,39.7432,98.5174,Jiuquan Hotel
157,Thayetmyo,MM,84.29,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
160,Kaputa,ZM,73.4,few clouds,-8.4689,29.6619,Chelelwa Charlets
163,Vao,NC,72.27,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
166,Sao Filipe,CV,78.19,few clouds,14.8961,-24.4956,Hotel Xaguate
167,Marsh Harbour,BS,79.81,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
170,Labuhan,ID,80.11,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
176,Anaconda,US,76.19,scattered clouds,46.1285,-112.9423,Trade Wind Motel
179,Na Wa,TH,75.49,moderate rain,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
182,Pathein,MM,84.38,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
184,Maturin,VE,80.22,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
189,Bengkulu,ID,76.51,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
190,Rancho Palos Verdes,US,70.36,overcast clouds,33.7445,-118.387,Terranea Resort
191,Yokadouma,CM,75.27,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
195,Padang,ID,76.17,overcast clouds,-0.9492,100.3543,Mercure Padang
202,Karratha,AU,73.18,clear sky,-20.7377,116.8463,ibis Styles Karratha
216,Valle De Allende,MX,82.26,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
217,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
220,Loandjili,CG,79.7,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
227,Teknaf,BD,82.49,overcast clouds,20.8624,92.3058,Forestry Guesthouse
231,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
234,Dodge City,US,80.26,clear sky,37.7528,-100.0171,Windsor Inn & Suites
236,Kawalu,ID,74.91,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
237,Kilindoni,TZ,79.61,broken clouds,-7.9139,39.6668,Bustani B&B
239,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
243,Manokwari,ID,77.52,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
244,Isangel,VU,74.62,broken clouds,-19.55,169.2667,Tanna Lodge
246,Biak,ID,76.53,overcast clouds,-0.9131,122.8766,Penginapan Kim
248,Pangkalanbuun,ID,78.06,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
250,Salta,AR,73.99,few clouds,-24.7859,-65.4117,Hotel Alejandro I
251,Lac Du Bonnet,CA,81.75,broken clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
259,Negombo,LK,80.15,heavy intensity rain,7.2083,79.8358,Hotel Sunset Beach
260,Kavaratti,IN,82.76,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
266,Uga,NG,74.39,overcast clouds,5.9358,7.0793,Hotel De Sunroute Akokwa
267,Shediac,CA,84.09,broken clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
269,Tarakan,ID,83.91,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
271,Port Blair,IN,83.84,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
274,Sabang,ID,83.41,overcast clouds,5.8933,95.3214,Hotel Citra
282,Praia Da Vitoria,PT,70.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
283,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
287,Tubigan,PH,77.9,overcast clouds,8.5322,124.3122,MOONBAY White Beach Resort Co.
292,Alexandria,EG,72.82,clear sky,31.2156,29.9553,Royal Crown Hotel
293,Kalmunai,LK,81.63,broken clouds,7.4167,81.8167,VS Villa
295,Whitley Bay,GB,70.81,few clouds,55.0397,-1.4471,Cara Guesthouse
300,Cidreira,BR,77.49,clear sky,-30.1811,-50.2056,Hotel Castelo
303,Matara,LK,79.0,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
304,Virden,US,84.02,clear sky,39.5009,-89.7679,Virden Nail Spa
306,Erzin,TR,81.12,clear sky,36.9559,36.2,Artemis Otel
316,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
318,Seredka,RU,73.15,overcast clouds,58.1584,28.1858,Lesnoy Oazis
319,Takoradi,GH,83.23,scattered clouds,4.8845,-1.7554,Raybow International Hotel
324,Mananjary,MG,73.85,light rain,-21.2167,48.3333,Vahiny Lodge
337,Dingle,PH,77.2,light rain,10.9995,122.6711,SEGAYA PROPERTY
339,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
341,Tautira,PF,77.02,broken clouds,-17.7333,-149.15,Pension Oaoa
343,Batticaloa,LK,82.62,broken clouds,7.7102,81.6924,Grand Star Guest House
344,Vanimo,PG,75.24,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
345,Sao Gabriel Da Cachoeira,BR,80.4,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
350,Ambulu,ID,75.7,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
355,Kupang,ID,77.14,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
364,Port-Gentil,GA,79.63,overcast clouds,-0.7193,8.7815,Fengshui Residence
368,Namatanai,PG,79.3,light rain,-3.6667,152.4333,Seagulls Inn Namatani
369,Saurimo,AO,73.35,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
370,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
373,Garissa,KE,84.56,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
374,Springdale,US,77.72,clear sky,36.1867,-94.1288,Springdale Inn
375,Dire Dawa,ET,80.31,broken clouds,9.5931,41.8661,Samrat Hotel
377,Eichstatt,DE,74.8,broken clouds,48.8833,11.1833,Hotel Adler
378,Lodi,US,80.94,clear sky,38.1302,-121.2725,Wine & Roses
383,Roma,US,84.85,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
385,Arraial Do Cabo,BR,78.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
395,Witu,KE,77.74,broken clouds,-2.3889,40.4382,New City Guest House
397,Terrace Bay,CA,72.1,overcast clouds,48.7834,-87.1,Drifters Motel & Restaurant
398,Angoche,MZ,71.37,light rain,-16.2325,39.9086,Guest House HESADA
401,Lorengau,PG,80.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
402,Booue,GA,79.86,light rain,-0.0921,11.9385,Splendeur de l'équateur
